,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-01-0095-46,04-028,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA DR. PEDRO MOLINA,FINCA ALAMEDA,79370426,MARILENA HERNANDEZ CABRERA,--,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0112-46,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),3A. CALLE 6-125 ZONA 4,78391333,JULIO ANTONIO MUTZUTZ CATU,MIRSA NOEMÍ CASTILLO MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0113-46,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO NO. 2 (C.E.T.A.CH. NO. 2),3A. CALLE 6-125 ZONA 4,78404789,JULIO ANTONIO MUTZUTZ CATU,MIRSA NOEMÍ CASTILLO MONROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
04-01-0115-46,04-020,CHIMALTENANGO,CHIMALTENANGO,"LICEO CRISTIANO ""NATANAEL""","6A. AVENIDA ""A"" 2A-37, ZONA 2 COLONIA SANTA TERESITA",57998064,SANDRA NINETH LOPEZ GUTIERREZ,FLAVIO AUGUSTO CHOC CHOY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0117-46,04-027,CHIMALTENANGO,CHIMALTENANGO,CENTRO DE ESTUDIOS TECNICOS AVANZADOS DE CHIMALTENANGO NO. 2 (C E T A CH NO 2),3A. CALLE 6-125 ZONA 4,78399782,JULIO ANTONIO MUTZUTZ CATU,CARLOS HUMBERTO CABRERA OVALLE,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0121-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"COLEGIO MIXTO ""SANTA TERESITA""","MANZANA L, LOTE 31 Y 32, COLONIA SANTA TERESITA, ZONA 2",50369137,JULIO ANTONIO MUTZUTZ CATU,ANGELICA REYES MATIAS DE MINAGI,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0125-46,04-027,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACION,1A. AVENIDA 4-52 ZONA 4,78392827,JULIO ANTONIO MUTZUTZ CATU,LESLIE IVETTE SANCHEZ VASQUEZ RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-01-0128-46,04-027,CHIMALTENANGO,CHIMALTENANGO,LICEO NUEVA GENERACION,1A. AVENIDA 4-52 ZONA 4,783928,JULIO ANTONIO MUTZUTZ CATU,LESLIE IVETTE SANCHEZ VASQUEZ DE RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0129-46,04-027,CHIMALTENANGO,CHIMALTENANGO,INSTITUTO EVANGÉLICO AMÉRICA LATINA,6A. AVENIDA 3-48 ZONA 5,77282600,JULIO ANTONIO MUTZUTZ CATU,AXEL EDUARDO ESTRADA CHAVEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,CHIMALTENANGO
04-01-0134-46,04-027,CHIMALTENANGO,CHIMALTENANGO,"CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""",8A. AVENIDA 3-59 ZONA 2,77741100,JULIO ANTONIO MUTZUTZ CATU,LIC. JOSÉ EDWIN VILLARREAL AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),CHIMALTENANGO
