,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
05-01-0184-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSE•ANZA,1ERA. AVENIDA 10-30 ZONA 1 COLONIA EL PROGRESO,78895918,NILDA JANETHE IBARRA BARRERA,MARIA EUGENIA BARRERA BARREDA DE LOPEZ,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0187-46,05-003,ESCUINTLA,ESCUINTLA,LICEO INTEGRAL DEL SUR DE ESCUINTLA,"7A. CALLE 2-64, ZONA 3, BARRIO SAN MIGUEL",78893930,NILDA JANETHE IBARRA BARRERA,LICDA. BLANCA ELENA ROLDAN TRABANINO DE PINEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0207-46,05-003,ESCUINTLA,ESCUINTLA,LICEO EVANGELICO EL EDEN,6A CALLE 1-60 ZONA 3 BARRIO SANTA ANA,41086951,NILDA JANETHE IBARRA BARRERA,SANDRA JUDITH COLLADO DE MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0226-46,05-003,ESCUINTLA,ESCUINTLA,CENTRO EDUCATIVO AGROFORESTAL EL BOSQUE,6TA. AVENIDA 1-60 ZONA 3 INTERIOR COLEGIO SANTA FAMILIA,51259060,NILDA JANETHE IBARRA BARRERA,HILDA MARIBEL MACHUCA ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0231-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FUTURE LEARNING CENTER (FLC),5TA CALLE 3-33 ZONA 1,78841293,NILDA JANETHE IBARRA BARRERA,JESSICA JEANNETTE SAGASTUME HICKS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0253-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO CIENCIAS INDUSTRIALES,2DA. CALLE 3-28 ZONA 1,78898879,NILDA JANETHE IBARRA BARRERA,MYRON USIEL LOAIZA GARCIA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ESCUINTLA
05-01-0256-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO SANTIAGO DE LOS CABALLEROS DE GUATEMALA,2DA AVENIDA 10-98 ZONA 1,78898751,NILDA JANETHE IBARRA BARRERA,SILVIA ELENA RUIZ THEISSEN DE CARDONA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0259-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO INTERNACIONAL FLC,5TA CALLE 3-33 ZONA 1 ESCUINTLA,78841293,NILDA JANETHE IBARRA BARRERA,JESSICA JEANNETTE SAGASTUME HICKS TZORIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ESCUINTLA
05-01-0263-46,05-003,ESCUINTLA,ESCUINTLA,COLEGIO PARTICULAR MIXTO ESCUINTLECO BILINGUE,1RA. AVENIDA 6-60 ZONA 4,78880936,NILDA JANETHE IBARRA BARRERA,OLGA ESTER LEAL DESTOUET DE GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ESCUINTLA
05-01-0269-46,05-003,ESCUINTLA,ESCUINTLA,INSTITUTO TECNICO BANAPORT,4TA CALLE 16 AVENIDA ZONA 5 COLONIA HUNAPU ESCUINTLA,30103284,NILDA JANETHE IBARRA BARRERA,CARLOS ENRIQUE L?PEZ MêNDEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ESCUINTLA
